rho [kg/m3], e [J/kg], P [Pa] 
54.50391, 302729.66705, 797350.71071 
54.26723, 302665.93902, 795426.85686 
54.03139, 302602.03998, 793503.00300 
53.79641, 302537.96917, 791579.14915 
53.56227, 302473.72580, 789655.29530 
53.32897, 302409.30908, 787731.44144 
53.09651, 302344.71822, 785807.58759 
52.86488, 302279.95241, 783883.73373 
52.63408, 302215.01084, 781959.87988 
52.40410, 302149.89271, 780036.02603 
52.17494, 302084.59719, 778112.17217 
51.94660, 302019.12347, 776188.31832 
51.71908, 301953.47070, 774264.46446 
51.49236, 301887.63804, 772340.61061 
51.26644, 301821.62467, 770416.75676 
51.04133, 301755.42973, 768492.90290 
50.81702, 301689.05235, 766569.04905 
50.59350, 301622.49169, 764645.19520 
50.37077, 301555.74686, 762721.34134 
50.14883, 301488.81700, 760797.48749 
49.92767, 301421.70123, 758873.63363 
49.70729, 301354.39865, 756949.77978 
49.48768, 301286.90837, 755025.92593 
49.26885, 301219.22948, 753102.07207 
49.05078, 301151.36109, 751178.21822 
48.83348, 301083.30227, 749254.36436 
48.61694, 301015.05211, 747330.51051 
48.40116, 300946.60966, 745406.65666 
48.18613, 300877.97401, 743482.80280 
47.97185, 300809.14419, 741558.94895 
47.75832, 300740.11926, 739635.09510 
47.54553, 300670.89827, 737711.24124 
47.33349, 300601.48024, 735787.38739 
47.12218, 300531.86421, 733863.53353 
46.91160, 300462.04919, 731939.67968 
46.70175, 300392.03419, 730015.82583 
46.49263, 300321.81823, 728091.97197 
46.28424, 300251.40028, 726168.11812 
46.07656, 300180.77935, 724244.26426 
45.86960, 300109.95442, 722320.41041 
45.66336, 300038.92445, 720396.55656 
45.45782, 299967.68840, 718472.70270 
45.25300, 299896.24525, 716548.84885 
45.04887, 299824.59393, 714624.99499 
44.84545, 299752.73337, 712701.14114 
44.64272, 299680.66253, 710777.28729 
44.44069, 299608.38031, 708853.43343 
44.23935, 299535.88562, 706929.57958 
44.03870, 299463.17738, 705005.72573 
43.83874, 299390.25449, 703081.87187 
43.63945, 299317.11581, 701158.01802 
43.44085, 299243.76025, 699234.16416 
43.24292, 299170.18666, 697310.31031 
43.04566, 299096.39390, 695386.45646 
42.84907, 299022.38082, 693462.60260 
42.65315, 298948.14628, 691538.74875 
42.45790, 298873.68908, 689614.89489 
42.26330, 298799.00807, 687691.04104 
42.06936, 298724.10205, 685767.18719 
41.87608, 298648.96982, 683843.33333 
